release,date,bases,sequences
129,2002-04-01,692266338,172768
130,2002-06-01,3267608441,397502
131,2002-08-01,3848375582,427771
132,2002-10-01,3892435593,434224
133,2002-12-01,6702372564,597042
134,2003-02-01,6705740844,597345
135,2003-04-01,6897080355,596818
136,2003-06-01,6992663962,607155
137,2003-08-01,7144761762,593801
138,2003-10-01,8662242833,1683437
139,2003-12-01,14523454868,2547094
140,2004-02-01,22804145885,3188754
141,2004-04-01,24758556215,4112532
142,2004-06-01,25592758366,4353890
143,2004-08-01,28128611847,4427773
144,2004-10-01,30871590379,5285276
145,2004-12-01,35009256228,5410415
146,2005-02-01,38076300084,6111782
147,2005-04-01,39523208346,6685746
148,2005-06-01,46767232565,8711924
149,2005-08-01,53346605784,10276161
150,2005-10-01,56162807647,11169448
151,2005-12-01,59638900034,12088491
152,2006-02-01,63183065091,12465546
153,2006-04-01,67488612571,13573144
154,2006-06-01,78858635822,17733973
155,2006-08-01,80369977826,17960667
156,2006-10-01,81127502509,18500772
157,2006-12-01,81611376856,18540918
158,2007-02-01,86043478524,19421576
159,2007-04-01,93022691867,23446831
160,2007-06-01,97102606459,23718400
161,2007-08-01,1.01964E+11,25384475
162,2007-10-01,1.02003E+11,25354041
163,2007-12-01,1.06506E+11,26177471
164,2008-02-01,1.08636E+11,27439206
165,2008-04-01,1.10501E+11,26931049
166,2008-06-01,1.13639E+11,39163548
167,2008-08-01,1.18594E+11,40214247
168,2008-10-01,1.36086E+11,46108952
169,2008-12-01,1.41375E+11,48394838
170,2009-02-01,1.43798E+11,49036947
171,2009-04-01,1.44523E+11,48948309
172,2009-06-01,1.4596E+11,49063546
173,2009-08-01,1.48165E+11,48443067
174,2009-10-01,1.49349E+11,48119301
175,2009-12-01,1.58317E+11,54076973
176,2010-02-01,1.63992E+11,57134273
177,2010-04-01,1.65536E+11,58361599
178,2010-06-01,1.67725E+11,58592700
179,2010-08-01,1.69254E+11,58994334
180,2010-10-01,1.75339E+11,59397637
181,2010-12-01,1.77385E+11,59608311
182,2011-02-01,1.90034E+11,62349795
183,2011-04-01,1.91401E+11,62715288
184,2011-06-01,2.00487E+11,63735078
185,2011-08-01,2.08316E+11,64997137
186,2011-10-01,2.18666E+11,68330215
187,2011-12-01,2.39868E+11,73729553
188,2012-02-01,2.61371E+11,78656704
189,2012-04-01,2.72693E+11,80905298
190,2012-06-01,2.87577E+11,82076779
191,2012-08-01,3.08196E+11,84020064
192,2012-10-01,3.33882E+11,86480509
193,2012-12-01,3.56003E+11,92767765
194,2013-02-01,3.90901E+11,103101291
195,2013-04-01,4.18027E+11,110509314
196,2013-06-01,4.5383E+11,112488036
197,2013-08-01,5.0042E+11,124812020
198,2013-10-01,5.35842E+11,130203205
199,2013-12-01,5.56764E+11,133818570
200,2014-02-01,5.91379E+11,139725795
201,2014-04-01,6.21015E+11,143446790
202,2014-06-01,7.19582E+11,175779064
203,2014-08-01,7.74052E+11,189080419
204,2014-10-01,8.05549E+11,196049974
205,2014-12-01,8.48978E+11,200301550
206,2015-02-01,8.73281E+11,205465046
207,2015-04-01,9.69103E+11,243779199
208,2015-06-01,1.03894E+12,258702138
209,2015-08-01,1.16328E+12,302955543
210,2015-10-01,1.22264E+12,309198943
211,2015-12-01,1.29787E+12,317122157
212,2016-02-01,1.39987E+12,333012760
213,2016-04-01,1.45221E+12,338922537
214,2016-06-01,1.55618E+12,350278081
215,2016-08-01,1.63722E+12,359796497
216,2016-10-01,1.67624E+12,363213315
217,2016-12-01,1.81719E+12,395301176
218,2017-02-01,1.89297E+12,409490397
