date,cost_mb,cost_genome
2001-09-30,5292.392885,95263071.92
2002-03-31,3898.635412,70175437.42
2002-09-30,3413.801195,61448421.5
2003-03-31,2986.204671,53751684.08
2003-10-31,2230.975235,40157554.23
2004-01-31,1598.909789,28780376.21
2004-04-30,1135.698674,20442576.14
2004-07-31,1107.463652,19934345.74
2004-10-31,1028.850676,18519312.16
2005-01-31,974.1649757,17534969.56
2005-04-30,897.7610799,16159699.44
2005-07-31,898.9013391,16180224.1
2005-10-31,766.7291219,13801124.19
2006-01-31,699.2032723,12585658.9
2006-04-30,651.8074733,11732534.52
2006-07-31,636.4064012,11455315.22
2006-10-31,581.9197978,10474556.36
2007-01-31,522.7077172,9408738.91
2007-04-30,502.6112761,9047002.969
2007-07-31,495.9634524,8927342.143
2007-10-31,397.0872994,7147571.388
2008-01-31,102.127333,3063819.989
2008-04-30,15.03313588,1352982.229
2008-07-31,8.356443358,752079.9022
2008-10-31,3.805578447,342502.0602
2009-01-31,2.585949308,232735.4377
2009-04-30,1.71903999,154713.5991
2009-07-31,1.200723772,108065.1394
2009-10-31,0.781481494,70333.33442
2010-01-31,0.519714143,46774.27283
2010-04-30,0.350133773,31512.03954
2010-07-31,0.345832897,31124.96074
2010-10-31,0.323241486,29091.73375
2011-01-31,0.232919803,20962.78225
2011-04-30,0.185689035,16712.01311
2011-07-31,0.1166326,10496.93398
2011-10-30,0.086038201,7743.438105
2012-01-31,0.085180212,7666.219038
2012-04-30,0.065569918,5901.292635
2012-07-31,0.066496904,5984.721339
2012-10-31,0.073537214,6618.349279
2013-01-31,0.063014956,5671.346078
2013-04-30,0.063641248,5826.262069
2013-07-31,0.061669609,5550.26484
2013-10-31,0.056623078,5096.077026
2014-01-31,0.044534522,4008.106999
2014-04-30,0.054672187,4920.496839
2014-07-31,0.054498302,4904.847168
2014-10-31,0.063676561,5730.890525
2015-01-31,0.044109309,3969.837782
2015-04-30,0.046786526,4210.787308
2015-07-31,0.015147113,1363.240213
2015-10-15,0.014,1245
,,
